svl_cm	peso_g	velmax 	Reservas_energeticas
20.23	0.57	1.147	0.31
20.01	0.62	1.285	0.45
20.49	0.67	1.189	0.46
18.93	0.48	1.3	0.43
20.18	0.58	1.158	0.36
19.25	0.41	1.093	0.29
20.46	0.62	1.136	0.4
18.6	0.49	1.174	0.23
20.7	0.57	1.281	0.22
19.16	0.45	1.207	0.21
18.97	0.58	1.283	0.18
17.96	0.54	1.128	0.23
19.49	0.53	1.304	0.82
19.47	0.62	1.215	1.1
18.49	0.46	1.082	0.88
20.25	0.58	1.164	0.72
20.92	0.65	1.351	0.92
19.63	0.38	1.239	0.61
21.85	0.67	1.144	0.49
21.66	0.68	1.224	1.24
18.48	0.38	1.22	0.3
20.2	0.53	1.244	0.37
20.4	0.6	1.263	0.38
19.51	0.6	1.306	0.29
21.08	0.69	1.284	0.43
22.64	0.79	1.407	0.45
21.2	0.81	1.354	0.63
22.6	0.73	1.264	0.72
19.19	0.55	1.325	0.44
17.86	0.65	1.167	0.35
20.06	0.48	1.274	0.31
21.06	0.65	1.185	0.4
22.75	0.74	1.234	0.23
24.64	0.79	1.302	0.25
19.55	0.56	1.307	0.24
20.4	0.6	1.263	0.22
19.51	0.6	1.306	0.45
21.08	0.69	1.284	0.71
22.64	0.79	1.407	0.66
21.2	0.81	1.354	0.62
22.6	0.73	1.264	0.56
19.19	0.55	1.325	1.02
17.86	0.65	1.167	0.71
20.06	0.48	1.274	0.38
21.06	0.65	1.185	0.3
22.75	0.74	1.234	0.36
24.64	0.79	1.302	0.31
19.55	0.56	1.307	0.33
