Trial	Colony 	Ants	Dye_donated_(ng)	Dye_received_(ng)
1	1	1	405,214447	567,55957
2	3	1	729,537431	991,390239
3	1	1	485,047679	664,241788
4	3	1	148,824901	117,160817
5	1	1	203,493025	157,851571
6	3	1	316,606466	366,00562
8	1	1	281,743693	388,377804
9	3	1	1222,641268	1296,916976
13	5	1	147,134368	188,414378
14	6	1	101,239414	255,86575
15	5	1	647,975522	725,514622
16	6	1	115,203838	166,737492
17	5	1	557,397279	494,275937
18	6	1	380,888806	689,317689
19	5	1	1062,947136	971,743523
20	6	1	1,693226	3,834464
1	1	0	1034,42701	872,081888
2	3	0	1439,74527	1177,892462
3	1	0	801,913037	622,718927
4	3	0	392,883216	424,547299
5	1	0	219,558082	265,199536
6	3	0	263,043091	213,643938
8	1	0	406,926551	300,29244
9	3	0	1657,38026	1583,104552
13	5	0	213,508142	172,228132
14	6	0	477,160034	322,533697
15	5	0	1269,296556	1191,757456
16	6	0	231,970716	180,437061
17	5	0	454,201661	517,323004
18	6	0	922,499053	614,07017
19	5	0	1332,391825	1423,595437
20	6	0	2,141238	0
