Especie	Tem.prom_nidos	numero.hembras	numero.machos	proporcion.sexos
Chelonia_mydas	31.89	9	12	0.75
Caretta_caretta	32.01	15	12	1.25
Dermochelys_coriacea	32.61	12	12	1.00
Dermochelys_coriacea	32.38	11	6	1.83
Caretta_caretta	32.50	10	13	0.77
Dermochelys_coriacea	31.08	11	11	1.00
Dermochelys_coriacea	32.18	8	9	0.89
Chelonia_mydas	32.31	9	14	0.64
Chelonia_mydas	31.51	9	11	0.82
Chelonia_mydas	32.92	9	8	1.13
Chelonia_mydas	31.09	13	9	1.44
Dermochelys_coriacea	31.24	6	7	0.86
Dermochelys_coriacea	32.43	8	7	1.14
Chelonia_mydas	31.94	7	12	0.58
Chelonia_mydas	32.48	12	15	0.80
Chelonia_mydas	31.62	11	9	1.22
Chelonia_mydas	31.11	8	9	0.89
Chelonia_mydas	31.50	14	9	1.56
Chelonia_mydas	32.56	10	10	1.00
Chelonia_mydas	31.03	11	8	1.38
Caretta_caretta	32.53	7	8	0.88
Caretta_caretta	31.11	11	11	1.00
Caretta_caretta	32.36	15	6	2.50
Caretta_caretta	30.01	13	7	1.86
Dermochelys_coriacea	30.27	7	7	1.00
Dermochelys_coriacea	30.96	11	6	1.83
Dermochelys_coriacea	32.37	12	13	0.92
Caretta_caretta	30.30	13	6	2.17
Dermochelys_coriacea	32.36	15	11	1.36
Chelonia_mydas	31.55	14	12	1.17
Chelonia_mydas	30.79	14	13	1.08
Chelonia_mydas	30.96	13	9	1.44
Chelonia_mydas	31.90	14	7	2.00
Caretta_caretta	31.09	7	10	0.70
Caretta_caretta	32.49	7	15	0.47
Caretta_caretta	32.78	14	15	0.93
Caretta_caretta	32.58	8	11	0.73
Chelonia_mydas	31.18	11	8	1.38
Chelonia_mydas	32.20	9	9	1.00
Dermochelys_coriacea	31.99	13	15	0.87
Dermochelys_coriacea	35.56	15	12	1.25
Caretta_caretta	34.92	14	7	2.00
Caretta_caretta	35.29	14	8	1.75
Chelonia_mydas	34.70	12	7	1.71
Dermochelys_coriacea	33.66	15	3	5.00
Dermochelys_coriacea	34.60	13	7	1.86
Dermochelys_coriacea	36.28	14	10	1.40
Dermochelys_coriacea	34.36	13	4	3.25
Caretta_caretta	34.43	12	12	1.00
Caretta_caretta	36.65	12	5	2.40
Chelonia_mydas	36.21	14	6	2.33
Dermochelys_coriacea	34.02	13	3	4.33
Caretta_caretta	34.48	15	7	2.14
Caretta_caretta	33.87	12	7	1.71
Dermochelys_coriacea	35.32	13	4	3.25
Chelonia_mydas	33.91	14	8	1.75
Chelonia_mydas	34.98	14	12	1.17
Chelonia_mydas	34.44	13	4	3.25
Chelonia_mydas	35.89	12	10	1.20
Dermochelys_coriacea	33.63	12	3	4.00
